iter	Logloss
0	0.6802203776
1	0.6687301082
2	0.6568946767
3	0.6461872373
4	0.6361969185
5	0.6275933503
6	0.6181778982
7	0.6086558877
8	0.600422965
9	0.5920168921
10	0.5839290125
11	0.5778842257
12	0.5705002345
13	0.5634444453
14	0.5568448668
15	0.5505485097
16	0.5446843768
17	0.5389390004
18	0.5333669906
19	0.5285555531
20	0.5236643346
21	0.5188669864
22	0.5144075675
23	0.5102028486
24	0.5058235571
25	0.5021873883
26	0.4985183049
27	0.4954237666
28	0.4920295406
29	0.4888712246
30	0.4861368471
31	0.4832679334
32	0.480259528
33	0.4771149656
34	0.4745405836
35	0.4721232042
36	0.4699260449
37	0.4673646549
38	0.4654276934
39	0.4631655274
40	0.4610118704
41	0.4589017604
42	0.4570209927
43	0.4552710404
44	0.4535546044
45	0.4520741677
46	0.4503235323
47	0.4487507048
48	0.4474662289
49	0.4457625778
50	0.4444065007
51	0.4428641338
52	0.4418805776
53	0.4406109248
54	0.4394378846
55	0.4380236681
56	0.4367945869
57	0.4356592004
58	0.4349215673
59	0.4339753334
60	0.4330339553
61	0.4322068848
62	0.4311464308
63	0.4303243766
64	0.4291707729
65	0.4283501576
66	0.4275695645
67	0.4267105835
68	0.426016346
69	0.4253022901
70	0.4244351279
71	0.4238928391
72	0.4232031544
73	0.4226014148
74	0.4220498854
75	0.4214750787
76	0.4208909403
77	0.4201753009
78	0.4194795521
79	0.4188068046
80	0.4182563398
81	0.4177210187
82	0.4171705035
83	0.4168080726
84	0.4162500611
85	0.4157710724
86	0.4152660916
87	0.4146501048
88	0.4142142481
89	0.4136151023
90	0.4132642582
91	0.412819081
92	0.4125711418
93	0.4122622391
94	0.4118727685
95	0.4114439095
96	0.4111672338
97	0.4106579294
98	0.4103155063
99	0.4100039278
100	0.409694184
101	0.409366821
102	0.4090986891
103	0.4087551344
104	0.4085092086
105	0.4081805662
106	0.4078252562
107	0.407606649
108	0.407268514
109	0.4070148051
110	0.4066943086
111	0.4063350385
112	0.4060796208
113	0.4058957446
114	0.4056103328
115	0.4054174369
116	0.4051737923
117	0.4048581473
118	0.4045745028
119	0.4042941654
120	0.4040283674
121	0.4039005086
122	0.4037005683
123	0.4034160534
124	0.4031929617
125	0.4029275992
126	0.4026335511
127	0.4024670685
128	0.4022041323
129	0.4019317621
130	0.4017143497
131	0.4014995037
132	0.4012770674
133	0.4011247081
134	0.4009183179
135	0.4006967584
136	0.4004939057
137	0.4004020154
138	0.4002496666
139	0.4001649836
140	0.3999965362
141	0.3998007909
142	0.3996253476
143	0.3995068906
144	0.3993985217
145	0.3992660365
146	0.399117375
147	0.3988779948
